"ZEIT";"Anzahl";"MONAT";"STUNDE";"WOCHENTAG"
"30.04.2023 00:00";1;4;0;7
"30.04.2023 01:00";0;4;1;7
"30.04.2023 02:00";0;4;2;7
"30.04.2023 03:00";0;4;3;7
"30.04.2023 04:00";0;4;4;7
"30.04.2023 05:00";1;4;5;7
"30.04.2023 06:00";0;4;6;7
"30.04.2023 07:00";0;4;7;7
"30.04.2023 08:00";1;4;8;7
"30.04.2023 09:00";2;4;9;7
"30.04.2023 10:00";0;4;10;7
"30.04.2023 11:00";2;4;11;7
"30.04.2023 12:00";2;4;12;7
"30.04.2023 13:00";0;4;13;7
"30.04.2023 14:00";1;4;14;7
"30.04.2023 15:00";1;4;15;7
"30.04.2023 16:00";3;4;16;7
"30.04.2023 17:00";6;4;17;7
"30.04.2023 18:00";1;4;18;7
"30.04.2023 19:00";2;4;19;7
"30.04.2023 20:00";2;4;20;7
"30.04.2023 21:00";0;4;21;7
"30.04.2023 22:00";1;4;22;7
"30.04.2023 23:00";3;4;23;7
"01.05.2023 00:00";0;5;0;7
"01.05.2023 01:00";1;5;1;7
"01.05.2023 02:00";1;5;2;7
"01.05.2023 03:00";0;5;3;7
"01.05.2023 04:00";0;5;4;7
"01.05.2023 05:00";0;5;5;7
"01.05.2023 06:00";10;5;6;7
"01.05.2023 07:00";3;5;7;7
"01.05.2023 08:00";2;5;8;7
"01.05.2023 09:00";0;5;9;7
"01.05.2023 10:00";0;5;10;7
"01.05.2023 11:00";0;5;11;7
"01.05.2023 12:00";1;5;12;7
"01.05.2023 13:00";0;5;13;7
"01.05.2023 14:00";1;5;14;7
"01.05.2023 15:00";1;5;15;7
"01.05.2023 16:00";3;5;16;7
"01.05.2023 17:00";0;5;17;7
"01.05.2023 18:00";2;5;18;7
"01.05.2023 19:00";15;5;19;7
"01.05.2023 20:00";1;5;20;7
"01.05.2023 21:00";2;5;21;7
"01.05.2023 22:00";0;5;22;7
"01.05.2023 23:00";4;5;23;7
"02.05.2023 00:00";3;5;0;2
"02.05.2023 01:00";1;5;1;2
"02.05.2023 02:00";0;5;2;2
"02.05.2023 03:00";1;5;3;2
"02.05.2023 04:00";1;5;4;2
"02.05.2023 05:00";0;5;5;2
"02.05.2023 06:00";2;5;6;2
"02.05.2023 07:00";0;5;7;2
"02.05.2023 08:00";0;5;8;2
"02.05.2023 09:00";0;5;9;2
"02.05.2023 10:00";3;5;10;2
"02.05.2023 11:00";1;5;11;2
"02.05.2023 12:00";1;5;12;2
"02.05.2023 13:00";0;5;13;2
"02.05.2023 14:00";2;5;14;2
"02.05.2023 15:00";4;5;15;2
"02.05.2023 16:00";0;5;16;2
"02.05.2023 17:00";3;5;17;2
"02.05.2023 18:00";2;5;18;2
"02.05.2023 19:00";0;5;19;2
"02.05.2023 20:00";0;5;20;2
"02.05.2023 21:00";0;5;21;2
"02.05.2023 22:00";1;5;22;2
"02.05.2023 23:00";0;5;23;2
"03.05.2023 00:00";0;5;0;3
"03.05.2023 01:00";0;5;1;3
"03.05.2023 02:00";7;5;2;3
"03.05.2023 03:00";1;5;3;3
"03.05.2023 04:00";0;5;4;3
"03.05.2023 05:00";0;5;5;3
"03.05.2023 06:00";2;5;6;3
"03.05.2023 07:00";1;5;7;3
"03.05.2023 08:00";0;5;8;3
"03.05.2023 09:00";4;5;9;3
"03.05.2023 10:00";3;5;10;3
"03.05.2023 11:00";1;5;11;3
"03.05.2023 12:00";2;5;12;3
"03.05.2023 13:00";0;5;13;3
"03.05.2023 14:00";3;5;14;3
"03.05.2023 15:00";1;5;15;3
"03.05.2023 16:00";0;5;16;3
"03.05.2023 17:00";0;5;17;3
"03.05.2023 18:00";2;5;18;3
"03.05.2023 19:00";1;5;19;3
"03.05.2023 20:00";0;5;20;3
"03.05.2023 21:00";1;5;21;3
"03.05.2023 22:00";3;5;22;3
"03.05.2023 23:00";2;5;23;3
"";NA;NA;NA;NA
